rbd;gruse;prueba;Resultado ;var_res_ant;valor_var;var_gruse;valor_var_gs
6349;Medio Bajo;Prueba Lengua y Literatura: Lectura;251;similar;7;mas alto;23
6349;Medio Bajo;Prueba Matemática;250;similar;-10;similar;5
6349;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;246;similar;-11;mas alto;10
6350;Bajo;Prueba Lengua y Literatura: Lectura;222;similar;18;similar;0
6350;Bajo;Prueba Matemática;242;mas alto;31;similar;8
6350;Bajo;Prueba Historia, Geografía y Ciencias Sociales;236;similar;-9;similar;5
6351;Bajo;Prueba Lengua y Literatura: Lectura;233;Numero de respuestas;0;similar;11
6351;Bajo;Prueba Matemática;253;Numero de respuestas;0;mas alto;19
6351;Bajo;Prueba Historia, Geografía y Ciencias Sociales;241;Numero de respuestas;0;similar;10
6352;Medio Bajo;Prueba Lengua y Literatura: Lectura;249;similar;-8;mas alto;21
6352;Medio Bajo;Prueba Matemática;266;similar;23;mas alto;21
6352;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;255;similar;7;mas alto;19
6585;Medio Bajo;Prueba Lengua y Literatura: Lectura;239;similar;5;mas alto;11
6585;Medio Bajo;Prueba Matemática;243;mas alto;21;similar;-2
6585;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;244;similar;5;similar;8
6587;Medio Bajo;Prueba Lengua y Literatura: Lectura;215;similar;0;mas bajo;-13
6587;Medio Bajo;Prueba Matemática;236;similar;2;mas bajo;-9
6587;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;224;similar;-6;mas bajo;-12
6588;Medio Bajo;Prueba Lengua y Literatura: Lectura;206;mas bajo;-27;mas bajo;-22
6588;Medio Bajo;Prueba Matemática;226;similar;-5;mas bajo;-19
6588;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;224;mas bajo;-25;mas bajo;-12
6589;Medio Bajo;Prueba Lengua y Literatura: Lectura;243;similar;-4;mas alto;15
6589;Medio Bajo;Prueba Matemática;274;mas alto;10;mas alto;29
6589;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;255;similar;-4;mas alto;19
6593;Medio Bajo;Prueba Lengua y Literatura: Lectura;259;similar;-11;mas alto;31
6593;Medio Bajo;Prueba Matemática;268;mas alto;57;mas alto;23
6593;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;250;No Aplica;0;mas alto;14
6452;Medio Bajo;;230;similar;16;similar;2
6452;Medio Bajo;Prueba Matemática;217;similar;7;mas alto;28
6452;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;237;similar;2;similar;1
6457;Medio Bajo;Prueba Lengua y Literatura: Lectura;238;similar;12;similar;10
6457;Medio Bajo;Prueba Matemática;272;mas alto;44;mas alto;27
6457;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;233;similar;12;similar;3
6459;Medio Bajo;Prueba Lengua y Literatura: Lectura;241;similar;16;similar;13
6459;Medio Bajo;Prueba Matemática;241;similar;5;similar;4
6459;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;240;similar;16;similar;4
6454;Bajo;Prueba Lengua y Literatura: Lectura;200;No Aplica;0;No Aplica;0
6454;Bajo;Prueba Matemática;236;No Aplica;0;No Aplica;0
6454;Bajo;Prueba Historia, Geografía y Ciencias Sociales;214;No Aplica;0;No Aplica;0
6458;Bajo;Prueba Lengua y Literatura: Lectura;282;No Aplica;0;No Aplica;0
6458;Bajo;Prueba Matemática;291;No Aplica;0;No Aplica;0
6458;Bajo;Prueba Historia, Geografía y Ciencias Sociales;294;No Aplica;0;No Aplica;0
6397;Medio Bajo;Prueba Matemática;239;similar;14;similar;-6
6397;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;238;similar;-17;similar;2
6397;Medio Bajo;Prueba Lengua y Literatura: Lectura;234;mas alto;24;similar;6
6495;Bajo;Prueba Lengua y Literatura: Lectura;248;No Aplica;0;No Aplica;0
6495;Bajo;Prueba Matemática;268;No Aplica;0;No Aplica;0
6456;Bajo;Prueba Lengua y Literatura: Lectura;242;No Aplica;0;No Aplica;0
6456;Bajo;Prueba Matemática;284;No Aplica;0;No Aplica;0
6456;Bajo;Prueba Historia, Geografía y Ciencias Sociales;285;No Aplica;0;No Aplica;0
6455;Bajo;Prueba Lengua y Literatura: Lectura;278;No Aplica;0;No Aplica;0
6455;Bajo;Prueba Matemática;205;No Aplica;0;No Aplica;0
6455;Bajo;Prueba Historia, Geografía y Ciencias Sociales;240;No Aplica;0;No Aplica;0
6495;Bajo;Prueba Historia, Geografía y Ciencias Sociales;246;No Aplica;0;No Aplica;0
6398;Medio Bajo;Prueba Lengua y Literatura: Lectura;235;mas alto;19;similar;7
6398;Medio Bajo;Prueba Matemática;247;mas alto;25;similar;2
6398;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;237;similar;3;similar;1
6497;Bajo;Prueba Lengua y Literatura: Lectura;195;mas bajo;-29;mas bajo;-27
6497;Bajo;Prueba Matemática;214;similar;-10;mas bajo;-20
6497;Bajo;Prueba Historia, Geografía y Ciencias Sociales;218;mas bajo;-25;similar;-13
6499;Medio Bajo;Prueba Lengua y Literatura: Lectura;233;similar;-3;mas alto;11
6499;Bajo;Prueba Matemática;233;similar;-4;similar;0
6499;Bajo;Prueba Historia, Geografía y Ciencias Sociales;239;similar;-5;similar;8
6500;Medio;Prueba Lengua y Literatura: Lectura;241;mas bajo;-13;similar;-1
6500;Medio;Prueba Matemática;250;similar;-8;mas bajo;-13
6500;Medio;Prueba Historia, Geografía y Ciencias Sociales;250;mas bajo;-17;similar;-1
6501;Medio Bajo;Prueba Lengua y Literatura: Lectura;230;similar;0;similar;2
6501;Medio Bajo;Prueba Matemática;261;mas alto;15;mas alto;16
6501;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;230;mas bajo;-20;similar;-6
6502;Bajo;Prueba Lengua y Literatura: Lectura;188;mas bajo;-69;mas bajo;-34
6502;Bajo;Prueba Matemática;226;similar;-20;similar;-8
6502;Bajo;Prueba Historia, Geografía y Ciencias Sociales;204;mas bajo;-47;mas bajo;-27
6504;Bajo;Prueba Lengua y Literatura: Lectura;219;similar;0;similar;-3
6504;Bajo;Prueba Matemática;257;similar;4;mas alto;23
6504;Bajo;Prueba Historia, Geografía y Ciencias Sociales;235;mas bajo;32;similar;4
6528;Bajo;Prueba Lengua y Literatura: Lectura;260;No Aplica;0;No Aplica;0
6528;Bajo;Prueba Matemática;240;No Aplica;0;No Aplica;0
6528;Bajo;Prueba Historia, Geografía y Ciencias Sociales;259;No Aplica;0;No Aplica;0
20248;Medio Bajo;Prueba Lengua y Literatura: Lectura;193;mas bajo;-36;mas bajo;-35
20248;Medio Bajo;Prueba Matemática;221;similar;-3;mas bajo;-24
20248;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;188;mas bajo;-33;mas bajo;-48