RBD;Nivel;Grupo Socioeconómico;Prueba o Indicador;Resultado ;Variación respecto de la evaluación anterior;Valor de la variación;Variación respecto de la resultado nacional;Valor de la variación del resultado nacional
6349;8vo Básico;Medio Bajo;Prueba Lengua y Literatura: Lectura;251;Similar (Punto);7;Significativamente más alto (Flecha hacia arriba);23
6349;8vo Básico;Medio Bajo;Prueba Matemática;250;Similar (Punto);-10;Similar (Punto);5
6349;8vo Básico;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;246;Similar (Punto);-11;Significativamente más alto (Flecha hacia arriba);10
6350;8vo Básico;Bajo;Prueba Lengua y Literatura: Lectura;222;Similar (Punto);18;Similar (Punto);0
6350;8vo Básico;Bajo;Prueba Matemática;242;Significativamente más alto (Flecha hacia arriba);31;Similar (Punto);8
6350;8vo Básico;Bajo;Prueba Historia, Geografía y Ciencias Sociales;236;Similar (Punto);-9;Similar (Punto);5
6351;8vo Básico;Bajo;Prueba Lengua y Literatura: Lectura;233;Numero de respuestas;0;Similar (Punto);11
6351;8vo Básico;Bajo;Prueba Matemática;253;Numero de respuestas;0;Significativamente más alto (Flecha hacia arriba);19
6351;8vo Básico;Bajo;Prueba Historia, Geografía y Ciencias Sociales;241;Numero de respuestas;0;Similar (Punto);10
6352;8vo Básico;Medio Bajo;Prueba Lengua y Literatura: Lectura;249;Similar (Punto);-8;Significativamente más alto (Flecha hacia arriba);21
6352;8vo Básico;Medio Bajo;Prueba Matemática;266;Similar (Punto);23;Significativamente más alto (Flecha hacia arriba);21
6352;8vo Básico;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;255;Similar (Punto);7;Significativamente más alto (Flecha hacia arriba);19
6585;8vo Básico;Medio Bajo;Prueba Lengua y Literatura: Lectura;239;Similar (Punto);5;Significativamente más alto (Flecha hacia arriba);11
6585;8vo Básico;Medio Bajo;Prueba Matemática;243;Significativamente más alto (Flecha hacia arriba);21;Similar (Punto);-2
6585;8vo Básico;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;244;Similar (Punto);5;Similar (Punto);8
6587;8vo Básico;Medio Bajo;Prueba Lengua y Literatura: Lectura;215;Similar (Punto);0;Significativamente más bajo (Flecha hacia abajo);-13
6587;8vo Básico;Medio Bajo;Prueba Matemática;236;Similar (Punto);2;Significativamente más bajo (Flecha hacia abajo);-9
6587;8vo Básico;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;224;Similar (Punto);-6;Significativamente más bajo (Flecha hacia abajo);-12
6588;8vo Básico;Medio Bajo;Prueba Lengua y Literatura: Lectura;206;Significativamente más bajo (Flecha hacia abajo);-27;Significativamente más bajo (Flecha hacia abajo);-22
6588;8vo Básico;Medio Bajo;Prueba Matemática;226;Similar (Punto);-5;Significativamente más bajo (Flecha hacia abajo);-19
6588;8vo Básico;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;224;Significativamente más bajo (Flecha hacia abajo);-25;Significativamente más bajo (Flecha hacia abajo);-12
6589;8vo Básico;Medio Bajo;Prueba Lengua y Literatura: Lectura;243;Similar (Punto);-4;Significativamente más alto (Flecha hacia arriba);15
6589;8vo Básico;Medio Bajo;Prueba Matemática;274;Significativamente más alto (Flecha hacia arriba);10;Significativamente más alto (Flecha hacia arriba);29
6589;8vo Básico;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;255;Similar (Punto);-4;Significativamente más alto (Flecha hacia arriba);19
6593;8vo Básico;Medio Bajo;Prueba Lengua y Literatura: Lectura;259;Similar (Punto);-11;Significativamente más alto (Flecha hacia arriba);31
6593;8vo Básico;Medio Bajo;Prueba Matemática;268;Significativamente más alto (Flecha hacia arriba);57;Significativamente más alto (Flecha hacia arriba);23
6593;8vo Básico;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;250;No Aplica;0;Significativamente más alto (Flecha hacia arriba);14
6452;8vo Básico;Medio Bajo;Prueba Lengua y Literatura: Lectura;230;Similar (Punto);16;Similar (Punto);2
6452;8vo Básico;Medio Bajo;Prueba Matemática;217;Similar (Punto);7;Significativamente más alto (Flecha hacia arriba);28
6452;8vo Básico;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;237;Similar (Punto);2;Similar (Punto);1
6457;8vo Básico;Medio Bajo;Prueba Lengua y Literatura: Lectura;238;Similar (Punto);12;Similar (Punto);10
6457;8vo Básico;Medio Bajo;Prueba Matemática;272;Significativamente más alto (Flecha hacia arriba);44;Significativamente más alto (Flecha hacia arriba);27
6457;8vo Básico;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;233;Similar (Punto);12;Similar (Punto);3
6459;8vo Básico;Medio Bajo;Prueba Lengua y Literatura: Lectura;241;Similar (Punto);16;Similar (Punto);13
6459;8vo Básico;Medio Bajo;Prueba Matemática;241;Similar (Punto);5;Similar (Punto);4
6459;8vo Básico;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;240;Similar (Punto);16;Similar (Punto);4
6454;8vo Básico;Bajo;Prueba Lengua y Literatura: Lectura;200;No Aplica;0;No Aplica;0
6454;8vo Básico;Bajo;Prueba Matemática;236;No Aplica;0;No Aplica;0
6454;8vo Básico;Bajo;Prueba Historia, Geografía y Ciencias Sociales;214;No Aplica;0;No Aplica;0
6458;8vo Básico;Bajo;Prueba Lengua y Literatura: Lectura;282;No Aplica;0;No Aplica;0
6458;8vo Básico;Bajo;Prueba Matemática;291;No Aplica;0;No Aplica;0
6458;8vo Básico;Bajo;Prueba Historia, Geografía y Ciencias Sociales;294;No Aplica;0;No Aplica;0
6397;8vo Básico;Medio Bajo;Prueba Lengua y Literatura: Lectura;234;Significativamente más alto (Flecha hacia arriba);24;Similar (Punto);6
6397;8vo Básico;Medio Bajo;Prueba Matemática;239;Similar (Punto);14;Similar (Punto);-6
6397;8vo Básico;Medio Bajo;Prueba Historia, Geografía y Ciencias Sociales;238;Similar (Punto);-17;Similar (Punto);2
6495;8vo Básico;Bajo;Prueba Lengua y Literatura: Lectura;248;No Aplica;0;No Aplica;0
6495;8vo Básico;Bajo;Prueba Matemática;268;No Aplica;0;No Aplica;0
6456;8vo Básico;Bajo;Prueba Lengua y Literatura: Lectura;242;No Aplica;0;No Aplica;0
6456;8vo Básico;Bajo;Prueba Matemática;284;No Aplica;0;No Aplica;0
6456;8vo Básico;Bajo;Prueba Historia, Geografía y Ciencias Sociales;285;No Aplica;0;No Aplica;0
6455;8vo Básico;Bajo;Prueba Lengua y Literatura: Lectura;278;No Aplica;0;No Aplica;0
6455;8vo Básico;Bajo;Prueba Matemática;205;No Aplica;0;No Aplica;0
6455;8vo Básico;Bajo;Prueba Historia, Geografía y Ciencias Sociales;240;No Aplica;0;No Aplica;0
6495;8vo Básico;Bajo;Prueba Matemática;246;No Aplica;0;No Aplica;0